id	priority	code	name	reputation	schooltype	belongto	major	department	studentnum	major_detail	province	city	money	sex	years	language	fill_date	edit_date
37	本一A	10001	北京大学	100	综合	教育部	物理学类	物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
38	本一A	10001	北京大学	100	综合	教育部	心理学	心理学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
39	本一A	10001	北京大学	100	综合	教育部	新闻传播学类	新闻传播学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
40	本一A	10001	北京大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
41	本一A	10001	中国人民大学	100	综合	教育部	城乡规划	城乡规划	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
42	本一A	10001	中国人民大学	100	综合	教育部	地球物理学类	地球物理学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
43	本一A	10001	中国人民大学	100	综合	教育部	电子信息类	电子信息类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
44	本一A	10001	中国人民大学	100	综合	教育部	法学	法学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
45	本一A	10001	中国人民大学	100	综合	教育部	工科试验班类	工科试验班类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
46	本一A	10001	中国人民大学	100	综合	教育部	工商管理类	工商管理类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
47	本一A	10001	中国人民大学	100	综合	教育部	化学类	化学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
48	本一A	10001	中国人民大学	100	综合	教育部	经济学类	经济学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
49	本一A	10001	中国人民大学	100	综合	教育部	理科试验班类	理科试验班类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
50	本一A	10001	中国人民大学	100	综合	教育部	物理学类	物理学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
51	本一A	10001	中国人民大学	100	综合	教育部	心理学	心理学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
52	本一A	10001	中国人民大学	100	综合	教育部	新闻传播学类	新闻传播学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
53	本一A	10001	中国人民大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
54	本一A	10001	清华大学	100	综合	教育部	数学类	数学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
55	本一A	10001	清华大学	100	综合	教育部	城乡规划	城乡规划	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
56	本一A	10001	清华大学	100	综合	教育部	地球物理学类	地球物理学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
57	本一A	10001	清华大学	100	综合	教育部	电子信息类	电子信息类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
58	本一A	10001	清华大学	100	综合	教育部	法学	法学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
59	本一A	10001	清华大学	100	综合	教育部	工科试验班类	工科试验班类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
60	本一A	10001	清华大学	100	综合	教育部	工商管理类	工商管理类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
61	本一A	10001	清华大学	100	综合	教育部	化学类	化学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
62	本一A	10001	清华大学	100	综合	教育部	经济学类	经济学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
63	本一A	10001	清华大学	100	综合	教育部	理科试验班类	理科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
64	本一A	10001	清华大学	100	综合	教育部	生物科学	生物科学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
65	本一A	10001	清华大学	100	综合	教育部	物理学类	物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
66	本一A	10001	清华大学	100	综合	教育部	心理学	心理学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
67	本一A	10001	清华大学	100	综合	教育部	新闻传播学类	新闻传播学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
68	本一A	10001	清华大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
69	本一A	10001	北京交通大学	100	综合	教育部	数学类	数学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
70	本一A	10001	北京交通大学	100	综合	教育部	城乡规划	城乡规划	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
71	本一A	10001	北京交通大学	100	综合	教育部	地球物理学类	地球物理学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
72	本一A	10001	北京交通大学	100	综合	教育部	电子信息类	电子信息类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
73	本一A	10001	北京交通大学	100	综合	教育部	法学	法学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
74	本一A	10001	北京交通大学	100	综合	教育部	工科试验班类	工科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
75	本一A	10001	北京交通大学	100	综合	教育部	工商管理类	工商管理类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
76	本一A	10001	北京交通大学	100	综合	教育部	化学类	化学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
77	本一A	10001	北京交通大学	100	综合	教育部	经济学类	经济学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
78	本一A	10001	北京交通大学	100	综合	教育部	理科试验班类	理科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
79	本一A	10001	北京交通大学	100	综合	教育部	生物科学	生物科学	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
80	本一A	10001	北京交通大学	100	综合	教育部	物理学类	物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
81	本一A	10001	北京交通大学	100	综合	教育部	心理学	心理学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
82	本一A	10001	北京交通大学	100	综合	教育部	新闻传播学类	新闻传播学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
83	本一A	10001	北京交通大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
84	本一A	10001	北京工业大学	100	综合	教育部	数学类	数学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
85	本一A	10001	北京工业大学	100	综合	教育部	城乡规划	城乡规划	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
86	本一A	10001	北京工业大学	100	综合	教育部	地球物理学类	地球物理学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
87	本一A	10001	北京工业大学	100	综合	教育部	电子信息类	电子信息类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
88	本一A	10001	北京工业大学	100	综合	教育部	工科试验班类	工科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
89	本一A	10001	北京工业大学	100	综合	教育部	工商管理类	工商管理类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
90	本一A	10001	北京工业大学	100	综合	教育部	化学类	化学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
91	本一A	10001	北京工业大学	100	综合	教育部	经济学类	经济学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
92	本一A	10001	北京工业大学	100	综合	教育部	理科试验班类	理科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
93	本一A	10001	北京工业大学	100	综合	教育部	生物科学	生物科学	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
94	本一A	10001	北京工业大学	100	综合	教育部	物理学类	物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
95	本一A	10001	北京工业大学	100	综合	教育部	心理学	心理学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
96	本一A	10001	北京工业大学	100	综合	教育部	新闻传播学类	新闻传播学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
97	本一A	10001	北京航空航天大学	100	综合	教育部	数学类	数学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
98	本一A	10001	北京航空航天大学	100	综合	教育部	城乡规划	城乡规划	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
99	本一A	10001	北京航空航天大学	100	综合	教育部	地球物理学类	地球物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
100	本一A	10001	北京航空航天大学	100	综合	教育部	法学	法学	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
101	本一A	10001	北京航空航天大学	100	综合	教育部	工科试验班类	工科试验班类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
102	本一A	10001	北京航空航天大学	100	综合	教育部	工商管理类	工商管理类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
103	本一A	10001	北京航空航天大学	100	综合	教育部	化学类	化学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
104	本一A	10001	北京航空航天大学	100	综合	教育部	经济学类	经济学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
105	本一A	10001	北京航空航天大学	100	综合	教育部	理科试验班类	理科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
106	本一A	10001	北京航空航天大学	100	综合	教育部	生物科学	生物科学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
107	本一A	10001	北京航空航天大学	100	综合	教育部	物理学类	物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
108	本一A	10001	北京航空航天大学	100	综合	教育部	心理学	心理学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
109	本一A	10001	北京航空航天大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
110	本一A	10001	北京理工大学	100	综合	教育部	数学类	数学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
111	本一A	10001	北京理工大学	100	综合	教育部	城乡规划	城乡规划	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
112	本一A	10001	北京理工大学	100	综合	教育部	地球物理学类	地球物理学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
113	本一A	10001	北京理工大学	100	综合	教育部	电子信息类	电子信息类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
114	本一A	10001	北京理工大学	100	综合	教育部	工科试验班类	工科试验班类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
115	本一A	10001	北京理工大学	100	综合	教育部	化学类	化学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
116	本一A	10001	北京理工大学	100	综合	教育部	经济学类	经济学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
117	本一A	10001	北京理工大学	100	综合	教育部	理科试验班类	理科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
118	本一A	10001	北京理工大学	100	综合	教育部	生物科学	生物科学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
119	本一A	10001	北京理工大学	100	综合	教育部	物理学类	物理学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
120	本一A	10001	北京理工大学	100	综合	教育部	心理学	心理学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
121	本一A	10001	北京理工大学	100	综合	教育部	新闻传播学类	新闻传播学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
122	本一A	10001	北京理工大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
123	本一A	10001	北京科技大学	100	综合	教育部	数学类	数学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
124	本一A	10001	北京科技大学	100	综合	教育部	城乡规划	城乡规划	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
125	本一A	10001	北京科技大学	100	综合	教育部	地球物理学类	地球物理学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
126	本一A	10001	北京科技大学	100	综合	教育部	法学	法学	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
127	本一A	10001	北京科技大学	100	综合	教育部	工科试验班类	工科试验班类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
128	本一A	10001	北京科技大学	100	综合	教育部	工商管理类	工商管理类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
129	本一A	10001	北京科技大学	100	综合	教育部	化学类	化学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
130	本一A	10001	北京科技大学	100	综合	教育部	经济学类	经济学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
131	本一A	10001	北京科技大学	100	综合	教育部	理科试验班类	理科试验班类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
132	本一A	10001	北京科技大学	100	综合	教育部	生物科学	生物科学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
133	本一A	10001	北京科技大学	100	综合	教育部	物理学类	物理学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
134	本一A	10001	北京科技大学	100	综合	教育部	心理学	心理学	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
135	本一A	10001	北京科技大学	100	综合	教育部	新闻传播学类	新闻传播学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
136	本一A	10001	北京科技大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
137	本一A	10001	北方工业大学	100	综合	教育部	数学类	数学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
138	本一A	10001	北方工业大学	100	综合	教育部	城乡规划	城乡规划	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
139	本一A	10001	北方工业大学	100	综合	教育部	法学	法学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
140	本一A	10001	北方工业大学	100	综合	教育部	工科试验班类	工科试验班类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
141	本一A	10001	北方工业大学	100	综合	教育部	工商管理类	工商管理类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
142	本一A	10001	北方工业大学	100	综合	教育部	化学类	化学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
143	本一A	10001	北方工业大学	100	综合	教育部	理科试验班类	理科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
144	本一A	10001	北方工业大学	100	综合	教育部	生物科学	生物科学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
145	本一A	10001	北方工业大学	100	综合	教育部	物理学类	物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
146	本一A	10001	北方工业大学	100	综合	教育部	心理学	心理学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
147	本一A	10001	北方工业大学	100	综合	教育部	新闻传播学类	新闻传播学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
148	本一A	10001	北方工业大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
149	本一A	10001	北京化工大学	100	综合	教育部	数学类	数学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
150	本一A	10001	北京化工大学	100	综合	教育部	城乡规划	城乡规划	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
151	本一A	10001	北京化工大学	100	综合	教育部	地球物理学类	地球物理学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
152	本一A	10001	北京化工大学	100	综合	教育部	电子信息类	电子信息类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
153	本一A	10001	北京化工大学	100	综合	教育部	法学	法学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
154	本一A	10001	北京化工大学	100	综合	教育部	工科试验班类	工科试验班类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
155	本一A	10001	北京化工大学	100	综合	教育部	工商管理类	工商管理类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
156	本一A	10001	北京化工大学	100	综合	教育部	化学类	化学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
157	本一A	10001	北京化工大学	100	综合	教育部	经济学类	经济学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
158	本一A	10001	北京化工大学	100	综合	教育部	理科试验班类	理科试验班类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
159	本一A	10001	北京化工大学	100	综合	教育部	生物科学	生物科学	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
160	本一A	10001	北京化工大学	100	综合	教育部	物理学类	物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
161	本一A	10001	北京化工大学	100	综合	教育部	心理学	心理学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
162	本一A	10001	北京化工大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
163	本一A	10001	北京工商大学	100	综合	教育部	数学类	数学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
164	本一A	10001	北京工商大学	100	综合	教育部	城乡规划	城乡规划	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
165	本一A	10001	北京工商大学	100	综合	教育部	地球物理学类	地球物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
166	本一A	10001	北京工商大学	100	综合	教育部	电子信息类	电子信息类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
167	本一A	10001	北京工商大学	100	综合	教育部	法学	法学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
168	本一A	10001	北京工商大学	100	综合	教育部	工科试验班类	工科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
169	本一A	10001	北京工商大学	100	综合	教育部	工商管理类	工商管理类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
170	本一A	10001	北京工商大学	100	综合	教育部	经济学类	经济学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
171	本一A	10001	北京工商大学	100	综合	教育部	理科试验班类	理科试验班类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
172	本一A	10001	北京工商大学	100	综合	教育部	生物科学	生物科学	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
173	本一A	10001	北京工商大学	100	综合	教育部	物理学类	物理学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
174	本一A	10001	北京工商大学	100	综合	教育部	心理学	心理学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
175	本一A	10001	北京工商大学	100	综合	教育部	新闻传播学类	新闻传播学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
176	本一A	10001	北京工商大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
177	本一A	10001	北京服装学院	100	综合	教育部	数学类	数学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
178	本一A	10001	北京服装学院	100	综合	教育部	城乡规划	城乡规划	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
179	本一A	10001	北京服装学院	100	综合	教育部	地球物理学类	地球物理学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
180	本一A	10001	北京服装学院	100	综合	教育部	电子信息类	电子信息类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
181	本一A	10001	北京服装学院	100	综合	教育部	法学	法学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
182	本一A	10001	北京服装学院	100	综合	教育部	工科试验班类	工科试验班类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
183	本一A	10001	北京服装学院	100	综合	教育部	工商管理类	工商管理类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
184	本一A	10001	北京服装学院	100	综合	教育部	化学类	化学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
185	本一A	10001	北京服装学院	100	综合	教育部	经济学类	经济学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
186	本一A	10001	北京服装学院	100	综合	教育部	理科试验班类	理科试验班类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
187	本一A	10001	北京服装学院	100	综合	教育部	生物科学	生物科学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
188	本一A	10001	北京服装学院	100	综合	教育部	心理学	心理学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
189	本一A	10001	北京服装学院	100	综合	教育部	新闻传播学类	新闻传播学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
190	本一A	10001	北京服装学院	100	综合	教育部	计算机科学与技术	计算机科学与技术	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
191	本一A	10001	北京邮电大学	100	综合	教育部	数学类	数学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
